Angle,90,,,,,,,,,,,,,,
2.651461076883105841e-88,3.620763170355613446e-04,4.321799736330881991e+00,1.350378920905872917e+02,9.319418025807077584e+02,1.980292997293650615e+03,2.557050184754035399e+03,2.631365829198860411e+03,2.423459035159455652e+03,2.111151404212842863e+03,1.789646409169057279e+03,1.499239853003093231e+03,1.251841747654010305e+03,1.046726150225585798e+03
7.365169658008627585e-88,1.005767547321003699e-03,1.200499926758578262e+01,3.751052558071870635e+02,2.588727229390854973e+03,5.500813881371253046e+03,7.102917179872321867e+03,7.309349525552390332e+03,6.731830653220710701e+03,5.864309456146786033e+03,4.971240025469603097e+03,4.164555147230814327e+03,3.477338187927806757e+03,2.907572639515516130e+03
1.443573252969691132e-87,1.971304392749167501e-03,2.352979856446813756e+01,7.352063013820865081e+02,5.073905369606076420e+03,1.078159520748765317e+04,1.392171767254975020e+04,1.432632507008268476e+04,1.319438808031259578e+04,1.149404653404770033e+04,9.743630449920423416e+03,8.162528088572395973e+03,6.815582848338501208e+03,5.698842373450411287e+03
2.386314969194795480e-87,3.258686853320052427e-03,3.889619762697794414e+01,1.215341028815286109e+03,8.387476223226371076e+03,1.782263697564285758e+04,2.301345166278631950e+04,2.368229246278974460e+04,2.181113131643510496e+04,1.900036263791558304e+04,1.610681768252151596e+04,1.349315867702783908e+04,1.126657572888609502e+04,9.420535352030272406e+03
3.564742114476176251e-87,4.867914929033659126e-03,5.810419645511520059e+01,1.815509438106785638e+03,1.252943979025174121e+04,2.662393918583686172e+04,3.437811915058203886e+04,3.537725170367358078e+04,3.258206036158824281e+04,2.838325776775044142e+04,2.406080172327288528e+04,2.015644691259714818e+04,1.683031682957058729e+04,1.407265157525510040e+04
4.978854688813832997e-87,6.798988619889986297e-03,8.115379504887988560e+01,2.535711529256584981e+03,1.749979607068218320e+04,3.718550183806966379e+04,4.801572013593690644e+04,4.941120279273416963e+04,4.550717521577200387e+04,3.964273192355226638e+04,3.360558257217452046e+04,2.815239279528030238e+04,2.350680615039197801e+04,1.965519104312488707e+04
6.628652692207765719e-87,9.051907925889036977e-03,1.080449934082720631e+02,3.375947302264683458e+03,2.329854506451769339e+04,4.950732493234126741e+04,6.392625461885090044e+04,6.578414572997154028e+04,6.058647587898640631e+04,5.277878510532106884e+04,4.474116022922643606e+04,3.748099632507733622e+04,3.129604369135026718e+04,2.616815375563965063e+04
8.514136124657972631e-87,1.162667284703080423e-02,1.387777915332916905e+02,4.336216757131081067e+03,2.992568677175828634e+04,6.358940846865166532e+04,8.210972259932404268e+04,8.449608051538561995e+04,7.781996235123141378e+04,6.779141731305683788e+04,5.746753469442862843e+04,4.814225750198821333e+04,4.019802945244545117e+04,3.361153971279936377e+04
1.063530498616445730e-86,1.452328338331529585e-02,1.733521894239387109e+02,5.416519893855781447e+03,3.738122119240395841e+04,7.943175244700086478e+04,1.025661240773563331e+05,1.055470071489765251e+05,9.720763463250706263e+04,8.468062854675958806e+04,7.178470596778107574e+04,6.013617632601296646e+04,5.021276343367752270e+04,4.198534891460405925e+04
1.299215927672721884e-86,1.774173953474250665e-02,2.117681870802132096e+02,6.616856712438779141e+03,4.566514832645469141e+04,9.703435686738886579e+04,1.252954590529477427e+05,1.289369256307441392e+05,1.187494927228133165e+05,1.034464188064292830e+05,8.769267404928379983e+04,7.346275279715156648e+04,6.134024563504651451e+04,5.128958136105370068e+04
1.558469899634625547e-86,2.128204130131244182e-02,2.540257845021151581e+02,7.937227212880078696e+03,5.477746817391049990e+04,1.163972217298156611e+05,1.502977275260983151e+05,1.546658359606885933e+05,1.424455366221502481e+05,1.240887880920659809e+05,1.051914389389368152e+05,8.812198691540402069e+04,7.358047605655237567e+04,6.152423705214831716e+04
1.841292414502156539e-86,2.514418868302509616e-02,3.001249816896445282e+02,9.377631395179676474e+03,6.471818073477137659e+04,1.375203470342812943e+05,1.775729294968080358e+05,1.827337381388097419e+05,1.682957663305177703e+05,1.466077364036696090e+05,1.242810006367400929e+05,1.041138786807703436e+05,8.693345469819515711e+04,7.268931598788787960e+04
2.147683472275315575e-86,2.932818167988046967e-02,3.500657786428014333e+02,1.093806925933757520e+04,7.548728600903732877e+04,1.604037327807856782e+05,2.071210649650768901e+05,2.131406321651077014e+05,1.963001818479159265e+05,1.710032637412402837e+05,1.449613591426936619e+05,1.214384280932505499e+05,1.013991815599748224e+05,8.478481816827243892e+04
2.477643072954101762e-86,3.383402029187856930e-02,4.038481753615857883e+02,1.261854080535377034e+04,8.708478399670837098e+04,1.850473789693288854e+05,2.389421339309049072e+05,2.458865180395824136e+05,2.264587831743447168e+05,1.972753701047778304e+05,1.672325144567974785e+05,1.400956351528445666e+05,1.169776566418914299e+05,9.781074359330197331e+04
2.831171216538516529e-86,3.866170451901939503e-02,4.614721718459974227e+02,1.441904603322827097e+04,9.951067469778448867e+04,2.114512855999108870e+05,2.730361363942919997e+05,2.809713957622339367e+05,2.587715703098041122e+05,2.254240554942824238e+05,1.910944665790515137e+05,1.600854998595525394e+05,1.336688799439448921e+05,1.117670922629764245e+05
3.208267903028558090e-86,4.381123436130292259e-02,5.229377680960367343e+02,1.633958494296106619e+04,1.127649581122656527e+05,2.396154526725317119e+05,3.094030723552383133e+05,3.183952653330621542e+05,2.932385432542940252e+05,2.554493199097539764e+05,2.165472155094559421e+05,1.814080222133742645e+05,1.514728514661352383e+05,1.266538641772958799e+05
