Angle,90,,,,,,,,,,,,,,
1.690300894275690138e-87,2.888971161099245649e-03,1.201116871431182176e+02,9.456704131971157494e+02,1.821992678282269253e+03,2.406300767975492363e+03,2.780858513219237466e+03,3.032908111828120127e+03,3.211753709671453180e+03,3.343753979899338447e+03,3.443134593832162409e+03,3.504256554878150382e+03,3.509137148502701166e+03,3.449343342085496715e+03
4.695280261876917669e-87,8.024919891942349989e-03,3.336435753975506486e+02,2.626862258880877562e+03,5.061090773006304516e+03,6.684168799931921967e+03,7.724606981164551144e+03,8.424744755078114395e+03,8.921538082420704086e+03,9.288205499720388616e+03,9.564262760644896844e+03,9.734045985772641870e+03,9.747603190285281016e+03,9.581509283570823754e+03
9.202749313278757738e-87,1.572884298820700563e-02,6.539414077791991531e+02,5.148650027406519257e+03,9.919737915092357071e+03,1.310097084786656706e+04,1.514022968308251438e+04,1.651249971995309534e+04,1.748621464154458226e+04,1.820488277945196387e+04,1.874595501086400327e+04,1.907873013211437865e+04,1.910530225295915079e+04,1.877975819579881500e+04
1.521270804848121235e-86,2.600074044989321431e-02,1.081005184288063901e+03,8.511033718774040608e+03,1.639793410454042532e+04,2.165670691177943081e+04,2.502772661897313810e+04,2.729617300645308569e+04,2.890578338704307680e+04,3.009378581909405329e+04,3.098821134448946395e+04,3.153830899390335981e+04,3.158223433652431049e+04,3.104409007876946634e+04
2.272515646748428420e-86,3.884061227700098123e-02,1.614834904924145121e+03,1.271401333298344980e+04,2.449567934135051473e+04,3.235137699167050960e+04,3.738709778883642866e+04,4.077576461457807454e+04,4.318024431891620770e+04,4.495491461864668236e+04,4.629103176152130618e+04,4.711278257113959262e+04,4.717839944098076376e+04,4.637450493248279236e+04
3.174009457028796612e-86,5.424845846953030293e-02,2.255430569687442585e+03,1.775758887003473501e+04,3.421297362552262348e+04,4.518498108753980341e+04,5.221834319267236424e+04,5.695127454432804370e+04,6.030959743716396042e+04,6.278826917810981831e+04,6.465441626195950084e+04,6.580215086382304435e+04,6.589379756632850331e+04,6.477100275693878939e+04
4.225752235689226527e-86,7.222427902748117245e-02,3.002792178577955383e+03,2.364176032992789624e+04,4.554981695705674065e+04,6.015751919938730862e+04,6.952146283048094483e+04,7.582270279570302228e+04,8.029384274178634223e+04,8.359384949748347572e+04,8.607836484580406977e+04,8.760641387195378775e+04,8.772842871256751823e+04,8.623358355213739560e+04
5.427743982729716736e-86,9.276807395085356900e-02,3.856919731595685334e+03,3.036652771266294076e+04,5.850620933595287352e+04,7.726899132721303613e+04,8.929645670226220682e+04,9.739004936870298116e+04,1.031329802327833313e+05,1.073716555767676764e+05,1.105628775130550057e+05,1.125255715955317282e+05,1.126822928796978667e+05,1.107622473180787347e+05
6.779984698150269024e-86,1.158798432396475481e-01,4.817813228740631530e+03,3.793189101823986130e+04,7.308215076221103664e+04,9.651939747101697139e+04,1.115433248080160993e+05,1.216533142633279349e+05,1.288270099101549567e+05,1.341216874159623694e+05,1.381079542637123086e+05,1.405596240345569677e+05,1.407553900677194179e+05,1.383569940547627048e+05
8.282474381950882678e-86,1.415595868938630542e-01,5.885472670012792150e+03,4.633785024665867968e+04,8.927764123583122273e+04,1.179087376307990926e+05,1.362620671477426658e+05,1.486124974795778980e+05,1.573759317739011894e+05,1.638439450150676130e+05,1.687135950977760076e+05,1.717085711890294042e+05,1.719477202766323753e+05,1.690178237621893350e+05
9.935213034131556983e-86,1.698073049135001567e-01,7.059898055412169924e+03,5.558440539791936317e+04,1.070926807568133809e+05,1.414370118065594579e+05,1.634526837214418629e+05,1.782675990174528561e+05,1.887797458240220731e+05,1.965384283740833635e+05,2.023798000152460008e+05,2.059724130589490524e+05,2.062592835064365354e+05,2.027447364403586253e+05
1.173820065469229194e-85,2.006229972985587306e-01,8.341089384938764852e+03,6.567155647202194086e+04,1.265272693251575693e+05,1.671042199982980383e+05,1.931151745291137195e+05,2.106186188769527653e+05,2.230384520605175057e+05,2.322051374930096208e+05,2.391065690161224047e+05,2.433511496443159995e+05,2.436900797571319854e+05,2.395377320892706048e+05
1.369143724363309040e-85,2.340066640490389427e-01,9.729046658592576932e+03,7.659930346896637639e+04,1.475814069408638170e+05,1.949103622060148336e+05,2.252495395707582356e+05,2.456655570580777421e+05,2.601520504833877203e+05,2.708440723718464142e+05,2.788939021004051901e+05,2.838447809451302164e+05,2.842401090287187835e+05,2.793968107089252444e+05
1.579492280095395095e-85,2.699583051649406817e-01,1.122376987637360435e+04,8.836764638875272067e+04,1.702550936039320659e+05,2.248554384297098732e+05,2.598557788463754987e+05,2.834084135608276702e+05,3.001205410926324548e+05,3.124552330105938599e+05,3.217417992680943571e+05,3.274533069613915868e+05,3.279093713211969007e+05,3.223219722993226023e+05
1.804865732665486929e-85,3.084779206462640033e-01,1.282525903828184346e+04,1.009765852313809301e+05,1.945483293143623450e+05,2.569394486693830986e+05,2.969338923559652758e+05,3.238471883852026076e+05,3.429439238882517675e+05,3.570386194092516671e+05,3.676502605191898183e+05,3.741767276931002853e+05,3.746978666345661622e+05,3.683132168604625040e+05
2.045264082073585113e-85,3.495655104930087687e-01,1.453351414431730518e+04,1.144261199968510045e+05,2.204611140721545962e+05,2.911623929250345100e+05,3.364838800995278289e+05,3.669818815312025254e+05,3.886221988702458329e+05,4.045942315678200102e+05,4.166192858536917483e+05,4.240150431402561953e+05,4.246055949688268593e+05,4.173705443923451239e+05
